date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:22.0629346,0.99953306,0.512223732,0.986191339,0.382015004,0.095361219,-0.000412502,0.093844303,34154
20.09.2015,14:01:22.0678560,1.027724901,0.512116382,0.986080649,0.369823447,0.095702404,-0.000515628,0.093947429,34154
20.09.2015,14:01:22.0726256,0.984438784,0.512112108,0.986246684,0.391170998,0.095816132,-0.000618754,0.09415368,34154
20.09.2015,14:01:22.0772910,1.050782212,0.511920562,0.985969959,0.389202013,0.096043589,-0.000618754,0.094463057,34154
20.09.2015,14:01:22.0821026,0.974826764,0.511920562,0.986302029,0.389202013,0.096043589,-0.000618754,0.094566183,34154
20.09.2015,14:01:22.0869324,1.02502152,0.511947926,0.986080649,0.38478086,0.096043589,-0.000618754,0.094669308,34154
20.09.2015,14:01:22.0917842,0.994626799,0.511979978,0.986246684,0.383793039,0.095872997,-0.000618754,0.094566183,34154
20.09.2015,14:01:22.0963624,1.012658983,0.511979978,0.986135994,0.383793039,0.095588676,-0.000515628,0.094359931,34154
20.09.2015,14:01:22.1013034,1.002574584,0.511961034,0.986191339,0.378588435,0.095531812,-0.000618754,0.09415368,34154
20.09.2015,14:01:22.1059304,0.972997139,0.511970506,0.986302029,0.383213424,0.095247491,-0.000618754,0.093947429,34154
20.09.2015,14:01:22.1108076,1.016534234,0.511941101,0.986135994,0.372968861,0.095133762,-0.000618754,0.093844303,34154
20.09.2015,14:01:22.1155468,0.951530153,0.511941101,0.986412719,0.372968861,0.09496317,-0.000618754,0.093741178,34154
20.09.2015,14:01:22.1204812,1.016052351,0.511869694,0.986135994,0.391331544,0.09496317,-0.000618754,0.093638052,34154
20.09.2015,14:01:22.1251784,0.957240759,0.511743399,0.986412719,0.369124075,0.094849441,-0.000515628,0.093534927,34154
20.09.2015,14:01:22.1301610,0.993301081,0.511743399,0.986246684,0.369124075,0.094906306,-0.000618754,0.093431801,34154
