date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_AVRSetpt_iSelInput
20.09.2015,10:54:24.5733262,0.947942919,0.508239085,1.000581021,0.376957366,1
20.09.2015,10:54:24.5780788,0.961252499,0.508321272,1.000525676,0.359206354,1
20.09.2015,10:54:24.5829392,0.934497347,0.508321272,1.000636366,0.359206354,1
20.09.2015,10:54:24.5877830,0.976143943,0.508284005,1.000470331,0.37873407,1
20.09.2015,10:54:24.5924990,0.925086846,0.508323393,1.000691711,0.357937645,1
20.09.2015,10:54:24.5971360,0.961700127,0.508323393,1.000525676,0.357937645,1
20.09.2015,10:54:24.6021616,0.927131464,0.508259368,1.000691711,0.37893386,1
20.09.2015,10:54:24.6069208,0.953583516,0.508423981,1.000581021,0.366867811,1
20.09.2015,10:54:24.6116082,0.939946923,0.50846045,1.000636366,0.36954373,1
20.09.2015,10:54:24.6163268,0.927389688,0.50846045,1.000691711,0.36954373,1
20.09.2015,10:54:24.6213482,0.947751986,0.508481324,1.000636366,0.358450752,1
20.09.2015,10:54:24.6261970,0.922517719,0.508416072,1.000747056,0.362731327,1
20.09.2015,10:54:24.6307332,0.960612022,0.508316711,1.000581021,0.373453906,1
20.09.2015,10:54:24.6356132,0.911933942,0.508316711,1.000802401,0.373453906,1
20.09.2015,10:54:24.6404944,0.950082102,0.508288359,1.000636366,0.370639007,1
20.09.2015,10:54:24.6454148,0.915071846,0.508225211,1.000802401,0.363216319,1
20.09.2015,10:54:24.6500562,0.937984912,0.508225211,1.000691711,0.363216319,1
20.09.2015,10:54:24.6549286,0.938393464,0.508324573,1.000691711,0.369126312,1
20.09.2015,10:54:24.6597228,0.936529133,0.508315037,1.000691711,0.362372856,1
20.09.2015,10:54:24.6645948,0.961754951,0.508392918,1.000581021,0.362569664,1
20.09.2015,10:54:24.6693130,0.920984341,0.508392918,1.000747056,0.362569664,1
20.09.2015,10:54:24.6741546,0.971921738,0.508256163,1.000525676,0.371316866,1
20.09.2015,10:54:24.6789048,0.921000223,0.50816527,1.000747056,0.368723164,1
20.09.2015,10:54:24.6837702,0.958848948,0.50816527,1.000581021,0.368723164,1
20.09.2015,10:54:24.6885144,0.938808183,0.508180004,1.000691711,0.367261427,1
20.09.2015,10:54:24.6933370,0.949915614,0.508312916,1.000636366,0.359733519,1
20.09.2015,10:54:24.6980112,0.947654204,0.508258428,1.000636366,0.367310363,1
20.09.2015,10:54:24.7029216,0.93378023,0.508258428,1.000691711,0.367310363,1
20.09.2015,10:54:24.7077480,0.972272655,0.508123714,1.000525676,0.359269614,1
20.09.2015,10:54:24.7123430,0.930095195,0.507982255,1.000691711,0.370014664,1
20.09.2015,10:54:24.7171786,0.957822471,0.508124479,1.000581021,0.367250884,1
20.09.2015,10:54:24.7221548,0.922031139,0.508124479,1.000747056,0.367250884,1
20.09.2015,10:54:24.7269326,0.959531937,0.508080149,1.000581021,0.3741389,1
20.09.2015,10:54:24.7315372,0.934328948,0.508093208,1.000691711,0.357368308,1
20.09.2015,10:54:24.7363352,0.940564615,0.508093208,1.000636366,0.357368308,1
20.09.2015,10:54:24.7413418,0.941154365,0.508004404,1.000636366,0.37278675,1
20.09.2015,10:54:24.7461402,0.92806022,0.508030843,1.000691711,0.366161411,1
20.09.2015,10:54:24.7507276,0.955405903,0.507997483,1.000581021,0.371855586,1
20.09.2015,10:54:24.7556684,0.919076386,0.507997483,1.000747056,0.371855586,1
20.09.2015,10:54:24.7605758,0.967873972,0.508132596,1.000525676,0.357870871,1
20.09.2015,10:54:24.7653354,0.915157052,0.508204449,1.000747056,0.370856636,1
20.09.2015,10:54:24.7700824,0.949591374,0.508204449,1.000581021,0.370856636,1
20.09.2015,10:54:24.7749414,0.938496019,0.508248334,1.000636366,0.36348693,1
20.09.2015,10:54:24.7797420,0.944150414,0.508154889,1.000581021,0.37722851,1
20.09.2015,10:54:24.7845342,0.948352017,0.508365092,1.000581021,0.366980273,1
20.09.2015,10:54:24.7893174,0.936459148,0.508365092,1.000636366,0.366980273,1
20.09.2015,10:54:24.7941080,0.964024428,0.50847292,1.000525676,0.366232924,1
20.09.2015,10:54:24.7989190,0.927501131,0.508509533,1.000691711,0.361705114,1
20.09.2015,10:54:24.8037424,0.972400567,0.508261154,1.000470331,0.366867811,1
20.09.2015,10:54:24.8084400,0.933958412,0.508261154,1.000636366,0.366867811,1
20.09.2015,10:54:24.8131936,0.967381617,0.508135083,1.000470331,0.372130297,1
20.09.2015,10:54:24.8180580,0.936584934,0.508128386,1.000636366,0.374684755,1
20.09.2015,10:54:24.8229318,0.947977619,0.508128386,1.000581021,0.374684755,1
20.09.2015,10:54:24.8275258,0.949259719,0.508246261,1.000581021,0.360615641,1
20.09.2015,10:54:24.8323834,0.936760473,0.508356306,1.000636366,0.373803538,1
20.09.2015,10:54:24.8372006,0.9643556,0.508415626,1.000525676,0.364330393,1
20.09.2015,10:54:24.8421336,0.927442339,0.508415626,1.000691711,0.364330393,1
20.09.2015,10:54:24.8467258,0.965339639,0.50832301,1.000525676,0.364091412,1
20.09.2015,10:54:24.8515260,0.922209085,0.508253564,1.000747056,0.36639347,1
20.09.2015,10:54:24.8565380,0.956208433,0.508253564,1.000581021,0.36639347,1
20.09.2015,10:54:24.8612978,0.931872684,0.508238048,1.000691711,0.37269399,1
20.09.2015,10:54:24.8660798,0.940871223,0.508305405,1.000636366,0.367331716,1
20.09.2015,10:54:24.8710384,0.941113052,0.508396713,1.000636366,0.359888154,1
20.09.2015,10:54:24.8758044,0.928295853,0.508396713,1.000691711,0.359888154,1
20.09.2015,10:54:24.8804782,0.956112306,0.508289874,1.000581021,0.370410676,1
20.09.2015,10:54:24.8852634,0.918892679,0.508287769,1.000747056,0.363620478,1
20.09.2015,10:54:24.8901434,0.952832769,0.508287769,1.000581021,0.363620478,1
20.09.2015,10:54:24.8949964,0.931144656,0.508202871,1.000691711,0.373700076,1
20.09.2015,10:54:24.8997130,0.961011548,0.508383111,1.000525676,0.355217476,1
20.09.2015,10:54:24.9044390,0.934762449,0.508250646,1.000636366,0.378555686,1
20.09.2015,10:54:24.9092698,0.944115333,0.508250646,1.000581021,0.378555686,1
20.09.2015,10:54:24.9140486,0.944357425,0.508237825,1.000581021,0.369768494,1
20.09.2015,10:54:24.9189134,0.935339176,0.508134685,1.000636366,0.365961088,1
20.09.2015,10:54:24.9237234,0.960341991,0.508379762,1.000525676,0.364643177,1
20.09.2015,10:54:24.9283362,0.926235956,0.508379762,1.000691711,0.364643177,1
20.09.2015,10:54:24.9332480,0.972582453,0.508365873,1.000470331,0.371152753,1
20.09.2015,10:54:24.9379988,0.93714302,0.50833792,1.000636366,0.368152335,1
20.09.2015,10:54:24.9429534,0.957626434,0.50833792,1.000525676,0.368152335,1
20.09.2015,10:54:24.9475340,0.948681315,0.508172685,1.000581021,0.365029764,1
20.09.2015,10:54:24.9525036,0.947097758,0.508254824,1.000581021,0.362738356,1
20.09.2015,10:54:24.9572480,0.960850668,0.508215293,1.000525676,0.369629354,1
20.09.2015,10:54:24.9621260,0.934440312,0.508215293,1.000636366,0.369629354,1
20.09.2015,10:54:24.9668904,0.975773959,0.508403682,1.000470331,0.365964603,1
20.09.2015,10:54:24.9718592,0.925290767,0.508370689,1.000691711,0.370275104,1
20.09.2015,10:54:24.9765158,0.961231744,0.508370689,1.000525676,0.370275104,1
20.09.2015,10:54:24.9813008,0.927448109,0.50841081,1.000691711,0.366175469,1
20.09.2015,10:54:24.9861276,0.94923014,0.508161809,1.000581021,0.373842783,1
20.09.2015,10:54:24.9909780,0.939716842,0.508126393,1.000636366,0.359157152,1
20.09.2015,10:54:24.9955224,0.934439342,0.508126393,1.000636366,0.359157152,1
20.09.2015,10:54:25.0004818,0.963017663,0.508171744,1.000525676,0.369140582,1
20.09.2015,10:54:25.0051836,0.931053005,0.508206044,1.000636366,0.366945129,1
20.09.2015,10:54:25.0099950,0.955448265,0.508215819,1.000525676,0.378716232,1
20.09.2015,10:54:25.0147450,0.920517215,0.508215819,1.000691711,0.378716232,1
20.09.2015,10:54:25.0197118,0.960398436,0.50812416,1.000525676,0.35902009,1
20.09.2015,10:54:25.0244550,0.92693352,0.508194563,1.000691711,0.374481397,1
20.09.2015,10:54:25.0291992,0.949285757,0.508194563,1.000581021,0.374481397,1
20.09.2015,10:54:25.0339540,0.946695624,0.508203732,1.000581021,0.358257458,1
20.09.2015,10:54:25.0388636,0.935442906,0.508285775,1.000636366,0.376853904,1
20.09.2015,10:54:25.0437228,0.963395622,0.508194324,1.000525676,0.363602906,1
20.09.2015,10:54:25.0484986,0.923784419,0.508194324,1.000691711,0.363602906,1
20.09.2015,10:54:25.0532692,0.967039883,0.508220412,1.000525676,0.372312249,1
20.09.2015,10:54:25.0580574,0.920197474,0.508230984,1.000747056,0.358637017,1
20.09.2015,10:54:25.0629502,0.958389051,0.508230984,1.000581021,0.358637017,1
20.09.2015,10:54:25.0677366,0.928037398,0.508329915,1.000747056,0.36545501,1
20.09.2015,10:54:25.0726234,0.963257323,0.50825299,1.000581021,0.372601231,1
