date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_PSS_VSL
20.09.2015,13:38:02.5820606,1.210659086,0.633634746,0.987132203,0.480469997,0.616464505,0.009075054,0.608337962,0
20.09.2015,13:38:02.5869108,1.254472603,0.633672634,0.986910823,0.462572763,0.616350777,0.009178179,0.608234837,0
20.09.2015,13:38:02.5916384,1.238019674,0.63373189,0.987021513,0.475953316,0.616350777,0.009075054,0.608131711,0
20.09.2015,13:38:02.5964170,1.255261238,0.63373189,0.986910823,0.475953316,0.616180184,0.009075054,0.608131711,0
20.09.2015,13:38:02.6013742,1.248828153,0.63379853,0.986966168,0.463975021,0.616350777,0.009075054,0.608131711,0
20.09.2015,13:38:02.6061186,1.244897101,0.633954293,0.986966168,0.468157192,0.616066456,0.009075054,0.608028586,0
20.09.2015,13:38:02.6108188,1.271614614,0.634035491,0.986855478,0.474490567,0.616066456,0.009178179,0.60792546,0
20.09.2015,13:38:02.6156774,1.236460854,0.634035491,0.987021513,0.474490567,0.615838999,0.009178179,0.607822334,0
20.09.2015,13:38:02.6205716,1.268133715,0.634076536,0.986855478,0.4575401,0.615895864,0.009178179,0.607719209,0
20.09.2015,13:38:02.6253008,1.238805891,0.63401618,0.987021513,0.473577242,0.615725271,0.009075054,0.607719209,0
20.09.2015,13:38:02.6300384,1.264455411,0.633970446,0.986855478,0.469700027,0.615725271,0.009075054,0.607719209,0
20.09.2015,13:38:02.6348464,1.234491349,0.633970446,0.987021513,0.469700027,0.615838999,0.009075054,0.607719209,0
20.09.2015,13:38:02.6397700,1.239526665,0.634011492,0.986966168,0.470336139,0.615668407,0.009178179,0.607719209,0
20.09.2015,13:38:02.6445022,1.243574836,0.634107648,0.986966168,0.473762761,0.615725271,0.00938443,0.607616083,0
20.09.2015,13:38:02.6492176,1.224962158,0.634107648,0.987021513,0.473762761,0.615497814,0.009487556,0.607616083,0
20.09.2015,13:38:02.6541366,1.244261546,0.634088703,0.986910823,0.465292932,0.615668407,0.009590682,0.607512958,0
20.09.2015,13:38:02.6588814,1.210450251,0.633986616,0.987076858,0.466747906,0.615497814,0.009590682,0.607512958,0
20.09.2015,13:38:02.6636856,1.24382701,0.63387083,0.986910823,0.469014713,0.615611543,0.009590682,0.607512958,0
